a,b
ID,Active (0/1),Name *,Parent category,Root category (0/1),Description,Meta title,Meta keywords,Meta description,Rerwritten URL,Image URL,ID / Name of shop
Puchowa kurtka do kolan,"299,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/fc/54/fc54a42e584135e8f7b3f60559f9e7f7391c6e14.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Płaszcz puffer z kapturem,"229,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/39/4c/394c33abaad23646c40a09c67036d83a84abc111.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Kurtka puffer z kapturem,"149,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/00/cb/00cb98480890f3ab8e788c25f0f40cfd351ff8b3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Kurtka puffer,"149,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/b7/05/b705369620197c933f311fe4a5bf6b6f2bc749cc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
H&M+ Puchowa kurtka do kolan,"299,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/9a/8f/9a8f022376a201d1e9e3ce0187f103a8fa32e29c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sztyblety na platformie,"149,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/8a/9c/8a9cea863b2503095573240b56ddb140c1011ff3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Płaszcz puffer,"199,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/df/27/df27290a7ca67b6a3283dfe00f4ada0bbf17f4bc.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Rozpinana bluza z kapturem,"99,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/61/dc/61dc1a16f7a6965a7f6e4c04727dc5745e723d35.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cienki sweter z golfem,"59,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/66/b8/66b87e2f0a66b5ade881e40589f7ab02ee86ff53.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ocieplane botki,"59,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/c7/8a/c78a6d3830d74b47af26966b474b642c996438c0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweter oversize z golfem,"129,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/77/f5/77f5a9f301acc85971f449a7f7ba9b22bb5241ee.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Cekinowa sukienka,"149,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/bc/54/bc54e67d9589675141a40d3eb33d1ef7cc58560f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Eleganckie spodnie z wysoką talią,"134,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/14/5d/145de2b196984e1d697c880d14fa37c239fb6fda.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Dwurzędowy płaszcz,"229,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/79/ea/79ea75525879c88eb0c121bedbd7b4f41e1199f5.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Loose Straight High Jeans,"139,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/6a/8b/6a8bae4cd423ebf700d7760949de332cf87bca76.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Skórzane kozaki,"499,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/fe/d9/fed96320a7faf4165907c7038ea4c57a522c1f7b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Spodnie cygaretki,"79,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/40/d3/40d3f91fd1a418f0c7415db48c61e93f3d89da33.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
